W,Re_T,Im_T
0.1490E+04,0.1316E+00,0.1883E+00
0.1495E+04,0.1269E+00,0.2548E+00
0.1500E+04,0.1114E+00,0.2995E+00
0.1505E+04,0.8939E-01,0.3353E+00
0.1510E+04,0.6284E-01,0.3638E+00
0.1515E+04,0.3347E-01,0.3859E+00
0.1520E+04,0.2468E-02,0.4022E+00
0.1525E+04,-0.2936E-01,0.4134E+00
0.1530E+04,-0.6141E-01,0.4199E+00
0.1535E+04,-0.9316E-01,0.4219E+00
0.1540E+04,-0.1241E+00,0.4198E+00
0.1545E+04,-0.1539E+00,0.4138E+00
0.1550E+04,-0.1821E+00,0.4043E+00
0.1555E+04,-0.2083E+00,0.3915E+00
0.1560E+04,-0.2322E+00,0.3759E+00
0.1565E+04,-0.2537E+00,0.3578E+00
0.1570E+04,-0.2724E+00,0.3375E+00
0.1575E+04,-0.2882E+00,0.3154E+00
0.1580E+04,-0.3010E+00,0.2919E+00
0.1585E+04,-0.3108E+00,0.2672E+00
0.1590E+04,-0.3173E+00,0.2418E+00
0.1595E+04,-0.3206E+00,0.2159E+00
0.1600E+04,-0.3208E+00,0.1899E+00
0.1605E+04,-0.3181E+00,0.1639E+00
0.1610E+04,-0.3125E+00,0.1374E+00
0.1615E+04,-0.2993E+00,0.1091E+00
0.1620E+04,-0.2818E+00,0.8681E-01
0.1625E+04,-0.2619E+00,0.6793E-01
0.1630E+04,-0.2395E+00,0.5246E-01
0.1635E+04,-0.2150E+00,0.4091E-01
0.1640E+04,-0.1890E+00,0.3373E-01
0.1645E+04,-0.1624E+00,0.3125E-01
0.1650E+04,-0.1361E+00,0.3356E-01
0.1655E+04,-0.1109E+00,0.4052E-01
0.1660E+04,-0.8794E-01,0.5176E-01
0.1665E+04,-0.6779E-01,0.6668E-01
0.1670E+04,-0.5092E-01,0.8453E-01
0.1675E+04,-0.3719E-01,0.1045E+00
0.1680E+04,-0.2491E-01,0.1269E+00
0.1685E+04,-0.1356E-01,0.1604E+00
0.1690E+04,-0.4452E-01,0.2052E+00
0.1695E+04,-0.6835E-01,0.2009E+00
0.1700E+04,-0.7558E-01,0.1987E+00
0.1705E+04,-0.7926E-01,0.2001E+00
0.1710E+04,-0.8212E-01,0.2032E+00
0.1715E+04,-0.8499E-01,0.2072E+00
0.1720E+04,-0.8823E-01,0.2116E+00
0.1725E+04,-0.9198E-01,0.2160E+00
0.1730E+04,-0.9621E-01,0.2201E+00
0.1735E+04,-0.1008E+00,0.2238E+00
0.1740E+04,-0.1058E+00,0.2269E+00
0.1745E+04,-0.1109E+00,0.2294E+00
0.1750E+04,-0.1160E+00,0.2314E+00
0.1755E+04,-0.1212E+00,0.2328E+00
0.1760E+04,-0.1262E+00,0.2337E+00
0.1765E+04,-0.1311E+00,0.2341E+00
0.1770E+04,-0.1358E+00,0.2341E+00
0.1775E+04,-0.1403E+00,0.2337E+00
0.1780E+04,-0.1445E+00,0.2330E+00
0.1785E+04,-0.1486E+00,0.2320E+00
0.1790E+04,-0.1524E+00,0.2308E+00
0.1795E+04,-0.1559E+00,0.2294E+00
0.1800E+04,-0.1592E+00,0.2279E+00
0.1805E+04,-0.1623E+00,0.2262E+00
0.1810E+04,-0.1652E+00,0.2244E+00
0.1815E+04,-0.1678E+00,0.2226E+00
0.1820E+04,-0.1703E+00,0.2206E+00
0.1825E+04,-0.1726E+00,0.2186E+00
0.1830E+04,-0.1747E+00,0.2165E+00
0.1835E+04,-0.1767E+00,0.2145E+00
0.1840E+04,-0.1785E+00,0.2123E+00
0.1845E+04,-0.1802E+00,0.2102E+00
0.1850E+04,-0.1817E+00,0.2081E+00
0.1855E+04,-0.1830E+00,0.2059E+00
0.1860E+04,-0.1843E+00,0.2037E+00
0.1865E+04,-0.1854E+00,0.2016E+00
0.1870E+04,-0.1864E+00,0.1994E+00
0.1875E+04,-0.1873E+00,0.1973E+00
0.1880E+04,-0.1881E+00,0.1951E+00
0.1885E+04,-0.1887E+00,0.1930E+00
0.1890E+04,-0.1893E+00,0.1909E+00
0.1895E+04,-0.1897E+00,0.1889E+00
0.1900E+04,-0.1901E+00,0.1869E+00
0.1905E+04,-0.1904E+00,0.1849E+00
0.1910E+04,-0.1905E+00,0.1830E+00
0.1915E+04,-0.1906E+00,0.1811E+00
0.1920E+04,-0.1907E+00,0.1792E+00
0.1925E+04,-0.1907E+00,0.1774E+00
0.1930E+04,-0.1906E+00,0.1757E+00
0.1935E+04,-0.1904E+00,0.1741E+00
0.1940E+04,-0.1903E+00,0.1725E+00
0.1945E+04,-0.1900E+00,0.1709E+00
0.1950E+04,-0.1898E+00,0.1694E+00
0.1955E+04,-0.1895E+00,0.1680E+00
0.1960E+04,-0.1893E+00,0.1666E+00
0.1965E+04,-0.1890E+00,0.1653E+00
0.1970E+04,-0.1887E+00,0.1640E+00
0.1975E+04,-0.1884E+00,0.1627E+00
0.1980E+04,-0.1881E+00,0.1615E+00
0.1985E+04,-0.1878E+00,0.1603E+00
0.1990E+04,-0.1875E+00,0.1591E+00
0.1995E+04,-0.1872E+00,0.1580E+00
0.2000E+04,-0.1869E+00,0.1569E+00
0.2005E+04,-0.1866E+00,0.1558E+00
0.2010E+04,-0.1863E+00,0.1547E+00
0.2015E+04,-0.1860E+00,0.1536E+00
0.2020E+04,-0.1857E+00,0.1525E+00
0.2025E+04,-0.1854E+00,0.1515E+00
0.2030E+04,-0.1852E+00,0.1504E+00
0.2035E+04,-0.1848E+00,0.1493E+00
0.2040E+04,-0.1845E+00,0.1483E+00
0.2045E+04,-0.1842E+00,0.1472E+00
0.2050E+04,-0.1839E+00,0.1462E+00
0.2055E+04,-0.1835E+00,0.1452E+00
0.2060E+04,-0.1832E+00,0.1441E+00
0.2065E+04,-0.1828E+00,0.1431E+00
0.2070E+04,-0.1824E+00,0.1421E+00
0.2075E+04,-0.1820E+00,0.1411E+00
0.2080E+04,-0.1816E+00,0.1401E+00
0.2085E+04,-0.1812E+00,0.1391E+00
0.2090E+04,-0.1807E+00,0.1382E+00
0.2095E+04,-0.1803E+00,0.1373E+00
0.2100E+04,-0.1798E+00,0.1363E+00
0.2105E+04,-0.1793E+00,0.1354E+00
0.2110E+04,-0.1788E+00,0.1345E+00
0.2115E+04,-0.1783E+00,0.1337E+00
0.2120E+04,-0.1777E+00,0.1328E+00
0.2125E+04,-0.1772E+00,0.1320E+00
0.2130E+04,-0.1767E+00,0.1312E+00
0.2135E+04,-0.1762E+00,0.1304E+00
0.2140E+04,-0.1756E+00,0.1297E+00
0.2145E+04,-0.1751E+00,0.1289E+00
0.2150E+04,-0.1746E+00,0.1282E+00
0.2155E+04,-0.1740E+00,0.1275E+00
0.2160E+04,-0.1735E+00,0.1268E+00
0.2165E+04,-0.1730E+00,0.1261E+00
0.2170E+04,-0.1725E+00,0.1254E+00
0.2175E+04,-0.1720E+00,0.1247E+00
0.2180E+04,-0.1715E+00,0.1240E+00
0.2185E+04,-0.1710E+00,0.1234E+00
0.2190E+04,-0.1705E+00,0.1227E+00
0.2195E+04,-0.1700E+00,0.1220E+00
0.2200E+04,-0.1695E+00,0.1213E+00
